file_name,source_file,mapped_level,has_answer_hint,char_count
2022-2023人教PEP小学英语三年级上册期末测试卷.txt,2022-2023人教PEP小学英语三年级上册期末测试卷.docx,L3,yes,4344
2023-2024学年人教PEP版五年级英语下册期末测试卷.txt,2023-2024学年人教PEP版五年级英语下册期末测试卷.docx,L5,yes,4691
2025年重庆市中考英语真题.txt,2025年重庆市中考英语真题.doc,L9,yes,22088
2025年高考英语试卷（全国Ⅱ卷）.txt,2025年高考英语试卷（全国Ⅱ卷）.doc,L12,yes,21781
人教PEP版2022-2023学年小学英语四年级上册期末卷.txt,人教PEP版2022-2023学年小学英语四年级上册期末卷.docx,L4,yes,9598
深圳沪教牛津版2024-2025学年六年级英语下学期期末提分卷.txt,深圳沪教牛津版2024-2025学年六年级英语下学期期末提分卷.docx,L6,yes,19683
湖州市2019-2020学年八年级上册英语期末试卷.txt,湖州市2019-2020学年八年级上册英语期末试卷.doc,L8,no,10857
烟台市2019-2020学年第一学期七年级英语期末试卷.txt,烟台市2019-2020学年第一学期七年级英语期末试卷.doc,L7,no,6229
肇庆市2016-2017学年第一学期高一期末统测英语试卷及答案.txt,肇庆市2016-2017学年第一学期高一期末统测英语试卷及答案.doc,L10,yes,18344
肇庆市2016-2017学年第一学期高二期末统测英语试卷及答案.txt,肇庆市2016-2017学年第一学期高二期末统测英语试卷及答案.doc,L11,yes,21324
陕西渭南2020-2021学年九年级上英语期末试卷.txt,陕西渭南2020-2021学年九年级上英语期末试卷.doc,L9,no,14919
高三英语试卷.txt,高三英语试卷.doc,L12,yes,23374
