source_book,word,pos,meaning_zh
初中1600词,a,article,一个（件 / 只……）
初中1600词,an,article,一个（件 / 只……）
初中1600词,the,article,这；这个；那；那个
初中1600词,after,conjunction,在……以后
初中1600词,although,conjunction,虽然，尽管
初中1600词,and,conjunction,和；又
初中1600词,as,conjunction,像……一样；如同；因为
初中1600词,because,conjunction,因为
初中1600词,before,conjunction,在……之前
初中1600词,but,conjunction,但是
初中1600词,either,conjunction,二者之一；要么……
初中1600词,for,conjunction,因为，由于
初中1600词,however,conjunction,然而，可是，尽管如此
初中1600词,if,conjunction,如果；假使；是否；是不是
初中1600词,neither,conjunction,也不
初中1600词,nor,conjunction,也不
初中1600词,once,conjunction,一旦
初中1600词,or,conjunction,或者；还是；否则
初中1600词,since,conjunction,从……以来；……以后
初中1600词,that,conjunction,既然；由于；（引导宾语从句等）
初中1600词,though,conjunction,虽然
初中1600词,till,conjunction,直到；直到……为止
初中1600词,unless,conjunction,如果不，除非
初中1600词,until,conjunction,直到；直到……为止
初中1600词,whatever,conjunction,无论什么，不管什么
初中1600词,when,conjunction,当……的时候
初中1600词,whenever,conjunction,每当，无论何时
初中1600词,whether,conjunction,是否
初中1600词,while,conjunction,在/当……的时候；和……同时
初中1600词,than,conjunction,比
初中1600词,so,conjunction,因此；所以
初中1600词,not,conjunction,only…but  also…					不但…而且……
初中1600词,about,preposition,关于；在各处；四处
初中1600词,above,preposition,在……上面；
初中1600词,across,preposition,横过，穿过 add vt.  添加，增加
初中1600词,after,preposition,在……之后；在……后面
初中1600词,against,preposition,对着，反对
初中1600词,along,preposition,沿着；顺着
初中1600词,among,preposition,在……中间；在（三个以上）之间
初中1600词,anything,preposition,什么事（物）；任何事（物）
初中1600词,around,preposition,在……周围；大约
初中1600词,as,preposition,作为，当做
初中1600词,at,preposition,在（几点钟）；在（某处）
初中1600词,behind,preposition,(表示位置)在……后面
初中1600词,below,preposition,在……下面
初中1600词,beside,preposition,在……旁边；靠近
初中1600词,besides,preposition,除……以外（还有）
初中1600词,between,preposition,在（两者）之间；在……中间
初中1600词,beyond,preposition,(表示位置) 在……的那边
初中1600词,but,preposition,除了，除……外
初中1600词,by,preposition,靠近，在……旁；在……时间；不迟于；被；用；由；乘（车）
初中1600词,down,preposition,沿着，沿……而下
初中1600词,during,preposition,在……期间；在……过程中
初中1600词,except,preposition,除……之外
初中1600词,for,preposition,为了……；向……，往……；与……交换；防备……；适合……；因为……；在……24. 期间；对于……；对……来说
初中1600词,from,preposition,从；从……起；距；来自
初中1600词,in,preposition,在……里(内)；
初中1600词,inside,preposition,在……里面
初中1600词,into,preposition,到……里；向内；变成
初中1600词,near,preposition,在……附近nearly
初中1600词,of,preposition,"(表示所属,数量,其中) ……的"
初中1600词,off,preposition,离开，脱离
初中1600词,on,preposition,在……上（时），关于
初中1600词,outside,preposition,在……外面
初中1600词,over,preposition,在……上方；越过；遍及
初中1600词,past,preposition,走过……，
初中1600词,round,preposition,环绕一周，围着
初中1600词,since,preposition,从……以来
初中1600词,through,preposition,穿（通）过；从始至终
初中1600词,till,preposition,直到，直到……为止
初中1600词,to,preposition,（动词不定式符号，无词义）；（表示接受动作的人或物）给；对，向，到；在……之前
初中1600词,toward(s),preposition,向，朝，对于
初中1600词,under,preposition,在……下面，向……下面
初中1600词,until,preposition,直到……为止
初中1600词,up,preposition,向(高处)；向(在)……上(面)游
初中1600词,upon,preposition,在……上面
初中1600词,with,preposition,关于；带有；以；和；用；有
初中1600词,without,preposition,没有
初中1600词,I /,pronoun,me   								我
初中1600词,you,pronoun,/  you   							你
初中1600词,he,pronoun,/  him    							他
初中1600词,she,pronoun,/  her  								她
初中1600词,it,pronoun,/  it  								它
初中1600词,we,pronoun,/  us   								我们
初中1600词,you,pronoun,/   you  							你们
初中1600词,they,pronoun,/  them  							他/她/它们
初中1600词,my,pronoun,/  mine   							我的
初中1600词,your,pronoun,/  yours   							你的
初中1600词,his,pronoun,/  his   								他的
初中1600词,her,pronoun,/  hers  								她的
初中1600词,its,pronoun,/  its  								它的
初中1600词,our,pronoun,/  ours   							我们的
初中1600词,your,pronoun,/  yours  							你们的
初中1600词,their,pronoun,/  theirs  							他/她/它们的
初中1600词,myself,pronoun,我自己
初中1600词,yourself,pronoun,你自己
初中1600词,himself,pronoun,他自己
初中1600词,herself,pronoun,她自己
初中1600词,itself,pronoun,它自己
初中1600词,ourselves,pronoun,我们自己
初中1600词,yourselves,pronoun,你们自己
初中1600词,themselves,pronoun,他/她/它们自己
初中1600词,something,pronoun,某事；某物
初中1600词,anything,pronoun,什么事（物）；任何事（物）
初中1600词,nothing,pronoun,没有东西
初中1600词,everything,pronoun,每件事；事事
初中1600词,somebody,pronoun,（someone ）  					某人；有人
初中1600词,anybody,pronoun,（anyone ）                    任何人
初中1600词,nobody,pronoun,（no one ）  					没有人
初中1600词,everybody,pronoun,（everyone ）   				每人；人人
初中1600词,this,pronoun,这；这个
初中1600词,that,pronoun,那；那个
初中1600词,these,pronoun,这些
初中1600词,those,pronoun,那些
初中1600词,who,pronoun,谁
初中1600词,whom,pronoun,谁
初中1600词,whose,pronoun,谁的
初中1600词,what,pronoun,什么
初中1600词,whatever,pronoun,无论什么，不管什么
初中1600词,which,pronoun,那(哪)一个；那(哪)一些
初中1600词,each,pronoun,other  								互相；彼此
初中1600词,one another,pronoun,互相；彼此
初中1600词,some,pronoun,一些；若干
初中1600词,any,pronoun,（无论）哪个；（无论）哪些
初中1600词,many,pronoun,许多人(或物)
初中1600词,much,pronoun,许多；大量
初中1600词,both,pronoun,两者；两人；双方
初中1600词,neither,pronoun,两者都不
初中1600词,either,pronoun,两者之一
初中1600词,all,pronoun,全部 ; 全体人员
初中1600词,none,pronoun,没有任何人或东西
初中1600词,few,pronoun,少数 ；不多
初中1600词,little,pronoun,少量，少许
初中1600词,other,pronoun,别人；别的东西
初中1600词,another,pronoun,另一个
初中1600词,each,pronoun,每人;每个;每件
初中1600词,one,pronoun,指代人/物/事
初中1600词,one,numeral,一
初中1600词,two,numeral,二
初中1600词,three,numeral,三
初中1600词,four,numeral,四
初中1600词,five,numeral,五
初中1600词,six,numeral,六
初中1600词,seven,numeral,七
初中1600词,eight,numeral,八
初中1600词,nine,numeral,九
初中1600词,ten,numeral,十
初中1600词,eleven,numeral,十一
初中1600词,twelve,numeral,十二
初中1600词,thirteen,numeral,十三
初中1600词,fourteen,numeral,十四
初中1600词,fifteen,numeral,十五
初中1600词,sixteen,numeral,十六
初中1600词,seventeen,numeral,十七
初中1600词,eighteen,numeral,十八
初中1600词,nineteen,numeral,十九
初中1600词,twenty,numeral,二十
初中1600词,thirty,numeral,三十
初中1600词,forty,numeral,四十
初中1600词,fifty,numeral,五十
初中1600词,sixty,numeral,六十
初中1600词,seventy,numeral,七十
初中1600词,eighty,numeral,八十
初中1600词,ninety,numeral,九十
初中1600词,hundred,numeral,百
初中1600词,thousand,numeral,千
初中1600词,million,numeral,百万
初中1600词,billion,numeral,十亿；百亿
初中1600词,first,numeral,第一
初中1600词,second,numeral,第二
初中1600词,third,numeral,第三
初中1600词,fourth,numeral,第四
初中1600词,fifth,numeral,第五
初中1600词,sixth,numeral,第六
初中1600词,seventh,numeral,第七
初中1600词,eighth,numeral,第八
初中1600词,ninth,numeral,第九
初中1600词,tenth,numeral,第十
初中1600词,eleventh,numeral,第十一
初中1600词,twelfth,numeral,第十二
初中1600词,thirteenth,numeral,第十三
初中1600词,fourteenth,numeral,第十四
