source_book,word,pos,meaning_zh
三年级上册,ruler,n.,尺子
三年级上册,pencil,n.,铅笔
三年级上册,eraser,n.,橡皮
三年级上册,crayon,n.,蜡笔
三年级上册,bag,n.,包
三年级上册,pen,n.,钢笔
三年级上册,pencil box,n.,铅笔盒
三年级上册,book,n.,书
三年级上册,no,int.,不
三年级上册,your,pron.,你（们）的
三年级上册,red,adj.&n.,红色；红色的
三年级上册,green,adj.&n.,绿色；绿色的
三年级上册,yellow,adj.&n.,黄色；黄色的
三年级上册,blue,adj.&n.,蓝色；蓝色的
三年级上册,black,adj.&n.,黑色；黑色的
三年级上册,brown,adj.&n.,棕色；棕色的
三年级上册,white,adj.&n.,白色；白色的
三年级上册,orange,adj.&n.,橙色；橙色的
三年级上册,OK,int.,好；行
三年级上册,mum,n.,妈妈
三年级上册,face,n.,脸
三年级上册,ear,n.,耳朵
三年级上册,eye,n.,眼睛
三年级上册,nose,n.,鼻子
三年级上册,mouth,n.,嘴
三年级上册,arm,n.,胳膊
三年级上册,hand,n.,手
三年级上册,head,n.,头
三年级上册,body,n.,身体
三年级上册,leg,n.,腿
三年级上册,foot,n.,脚
三年级上册,duck,n.,鸭子
三年级上册,pig,n.,猪
三年级上册,cat,n.,猫
三年级上册,bear,n.,熊
三年级上册,dog,n.,狗
三年级上册,elephant,n.,大象
三年级上册,monkey,n.,猴子
三年级上册,bird,n.,鸟
三年级上册,tiger,n.,老虎
三年级上册,panda,n.,大熊猫
三年级上册,zoo,n.,动物园
三年级上册,funny,adj.,滑稽的；好笑的
三年级上册,bread,n.,面包
三年级上册,juice,n.,果汁
三年级上册,egg,n.,蛋
三年级上册,milk,n.,牛奶
三年级上册,water,n.,水
三年级上册,cake,n.,蛋糕
三年级上册,fish,n.,鱼
三年级上册,rice,n.,米饭
三年级上册,one,num.,一
三年级上册,two,num.,二
三年级上册,three,num.,三
三年级上册,four,num.,四
三年级上册,five,num.,五
三年级上册,six,num.,六
三年级上册,seven,num.,七
三年级上册,eight,num.,八
三年级上册,nine,num.,九
三年级上册,ten,num.,十
三年级上册,brother,n.,兄；弟
三年级上册,plate,n.,盘子
三年级下册,UK,n.,英国
三年级下册,Canada,n.,加拿大
三年级下册,USA,n.,美国
三年级下册,China,n.,中国
三年级下册,she,pron.,她
三年级下册,student,n.,学生
三年级下册,pupil,n.,小学生
三年级下册,he,pron.,他
三年级下册,teacher,n.,教师
三年级下册,boy,n.,男孩
三年级下册,and,conj.,和；与
三年级下册,girl,n.,女孩
三年级下册,new,adj.,新的
三年级下册,friend,n.,朋友
三年级下册,today,adv.,今天
三年级下册,father,n.,父亲；爸爸
三年级下册,dad,n.,爸爸（口语）
三年级下册,man,n.,男人
三年级下册,woman,n.,女人
三年级下册,mother,n.,母亲；妈妈
三年级下册,sister,n.,姐；妹
三年级下册,brother,n.,兄；弟
三年级下册,grandmother,n.,（外）祖母
三年级下册,grandma,n.,（口语）祖母
三年级下册,grandfather,n.,（外）祖父
三年级下册,grandpa,n.,（口语）祖父
三年级下册,family,n.,家；家庭
三年级下册,thin,adj.,瘦的
三年级下册,fat,adj.,胖的；肥的
三年级下册,tall,adj.,高的
三年级下册,short,adj.,矮的；短的
三年级下册,long,adj.,长的
三年级下册,small,adj.,小的
三年级下册,big,adj.,大的
三年级下册,giraffe,n.,长颈鹿
三年级下册,so,adv.,这么；那么
三年级下册,children,n.,儿童（child复数）
三年级下册,on,prep.,在……上
三年级下册,in,prep.,在……里
三年级下册,under,prep.,在……下面
三年级下册,chair,n.,椅子
三年级下册,desk,n.,书桌
三年级下册,cap,n.,帽子
三年级下册,ball,n.,球
三年级下册,car,n.,小汽车
三年级下册,boat,n.,小船
三年级下册,map,n.,地图
三年级下册,toy,n.,玩具
三年级下册,box,n.,盒；箱
三年级下册,pear,n.,梨
三年级下册,apple,n.,苹果
三年级下册,orange,n.,橙子
三年级下册,banana,n.,香蕉
三年级下册,grape,n.,葡萄
三年级下册,buy,v.,买
三年级下册,fruit,n.,水果
三年级下册,eleven,num.,十一
三年级下册,twelve,num.,十二
三年级下册,thirteen,num.,十三
三年级下册,fourteen,num.,十四
三年级下册,fifteen,num.,十五
三年级下册,sixteen,num.,十六
三年级下册,seventeen,num.,十七
三年级下册,eighteen,num.,十八
三年级下册,nineteen,num.,十九
三年级下册,twenty,num.,二十
三年级下册,kite,n.,风筝
三年级下册,beautiful,adj.,美丽的
四年级上册,classroom,n.,教室
四年级上册,window,n.,窗户
四年级上册,blackboard,n.,黑板
四年级上册,light,n.,电灯
四年级上册,picture,n.,图画
四年级上册,door,n.,门
四年级上册,teacher's desk,n.,讲台
四年级上册,computer,n.,计算机
四年级上册,fan,n.,风扇
四年级上册,wall,n.,墙壁
四年级上册,floor,n.,地板
四年级上册,really,adv.,真的
四年级上册,near,prep.,距离近
四年级上册,TV,n.,电视
四年级上册,schoolbag,n.,书包
四年级上册,maths book,n.,数学书
四年级上册,English book,n.,英语书
四年级上册,Chinese book,n.,语文书
四年级上册,storybook,n.,故事书
四年级上册,candy,n.,糖果
四年级上册,notebook,n.,笔记本
四年级上册,toy,n.,玩具
四年级上册,key,n.,钥匙
四年级上册,lost,v.,丢失（lose过去式）
四年级上册,so much,adv.,非常地
四年级上册,cute,adj.,可爱的
四年级上册,strong,adj.,强壮的
四年级上册,friendly,adj.,友好的
四年级上册,quiet,adj.,安静的
四年级上册,hair,n.,头发
四年级上册,shoe,n.,鞋
四年级上册,glasses,n.,眼镜
四年级上册,his,pron.,他的
四年级上册,her,pron.,她的
四年级上册,bedroom,n.,卧室
四年级上册,living room,n.,客厅；起居室
四年级上册,study,n.,书房
四年级上册,kitchen,n.,厨房
四年级上册,bathroom,n.,浴室；洗手间
四年级上册,bed,n.,床
四年级上册,phone,n.,电话
四年级上册,table,n.,桌子
四年级上册,sofa,n.,长沙发
四年级上册,fridge,n.,冰箱
四年级上册,beef,n.,牛肉
四年级上册,chicken,n.,鸡肉
四年级上册,noodles,n.,面条
四年级上册,soup,n.,汤
四年级上册,vegetable,n.,蔬菜
四年级上册,chopsticks,n.,筷子
四年级上册,bowl,n.,碗
四年级上册,fork,n.,餐叉
四年级上册,knife,n.,刀
四年级上册,spoon,n.,勺
四年级上册,dinner,n.,正餐
四年级上册,ready,adj.,准备好
四年级上册,help yourself,phr.,为（自己）取用
四年级上册,pass,v.,给；递
四年级上册,try,v.,试；尝试
四年级上册,parents,n.,父母
四年级上册,cousin,n.,同辈表亲（或堂亲）
四年级上册,uncle,n.,舅父；叔父；伯父；姑父；姨父
四年级上册,aunt,n.,姑母；姨母
四年级上册,baby brother,n.,婴儿小弟弟
四年级上册,doctor,n.,医生
四年级上册,cook,n.,厨师
四年级上册,driver,n.,司机
四年级上册,farmer,n.,农民
四年级上册,nurse,n.,护士
四年级上册,people,n.,人们
四年级上册,but,conj.,但是
四年级上册,little,adj.,小的
四年级上册,puppy,n.,小狗
四年级上册,job,n.,工作
四年级上册,basketball,n.,篮球
四年级下册,first floor,n.,一楼
四年级下册,second floor,n.,二楼
四年级下册,teacher's office,n.,教师办公室
四年级下册,library,n.,图书馆
四年级下册,playground,n.,操场
四年级下册,computer room,n.,计算机房
四年级下册,art room,n.,美术教室
四年级下册,music room,n.,音乐教室
四年级下册,next to,prep.,紧邻；在……近旁
四年级下册,homework,n.,作业
四年级下册,class,n.,班；班级
四年级下册,forty,num.,四十
四年级下册,way,n.,方向
四年级下册,breakfast,n.,早餐；早饭
四年级下册,English class,n.,英语课
四年级下册,lunch,n.,午餐；午饭
四年级下册,music class,n.,音乐课
四年级下册,PE class,n.,体育课
四年级下册,dinner,n.,正餐
四年级下册,get up,v.,起床
四年级下册,go to school,v.,去上学
四年级下册,go home,v.,回家
四年级下册,go to bed,v.,上床睡觉
四年级下册,over,adv.,结束
四年级下册,now,adv.,现在；目前
四年级下册,o'clock,adv.,（表示整点）……点钟
四年级下册,kid,n.,小孩
四年级下册,thirty,num.,三十
四年级下册,hurry up,phr.,快点
四年级下册,come on,phr.,快；加油
四年级下册,just a minute,phr.,稍等一会儿
四年级下册,cold,adj.,寒冷的；冷的
四年级下册,cool,adj.,凉的；凉爽的
四年级下册,warm,adj.,温暖的；暖和的
四年级下册,hot,adj.,热的；烫的
四年级下册,sunny,adj.,阳光充足的
四年级下册,windy,adj.,多风的；风大的
四年级下册,cloudy,adj.,阴天的；多云的
四年级下册,snowy,adj.,下雪的
四年级下册,rainy,adj.,阴雨的；多雨的
四年级下册,outside,adv.,在户外
四年级下册,be careful,phr.,小心
四年级下册,weather,n.,天气
四年级下册,New York,n.,纽约
四年级下册,how about,phr.,……怎么样？
四年级下册,degree,n.,度数；度
四年级下册,world,n.,世界
四年级下册,London,n.,伦敦
四年级下册,Moscow,n.,莫斯科
四年级下册,Singapore,n.,新加坡
四年级下册,Sydney,n.,悉尼
四年级下册,fly,v.,放（风筝等）
四年级下册,love,int.,（写信结尾）爱你的
四年级下册,tomato,n.,西红柿
四年级下册,potato,n.,马铃薯；土豆
四年级下册,green beans,n.,豆角；四季豆
四年级下册,carrot,n.,胡萝卜
四年级下册,horse,n.,马
四年级下册,cow,n.,母牛；奶牛
四年级下册,sheep,n.,羊；绵羊
四年级下册,hen,n.,母鸡
四年级下册,these,pron.,这些（this的复数）
四年级下册,animal,n.,动物
四年级下册,those,pron.,那些（that的复数）
四年级下册,garden,n.,花园；菜园
四年级下册,farm,n.,农场
四年级下册,goat,n.,山羊
四年级下册,eat,v.,吃
四年级下册,clothes,n.,衣服；服装
四年级下册,pants,n.,裤子
四年级下册,hat,n.,帽子
四年级下册,dress,n.,连衣裙
四年级下册,skirt,n.,女裙
四年级下册,coat,n.,外衣；大衣
四年级下册,sweater,n.,毛衣
四年级下册,sock,n.,短袜
四年级下册,shorts,n.,短裤
四年级下册,jacket,n.,夹克衫
四年级下册,shirt,n.,衬衫
四年级下册,yours,pron.,你的；你们的
四年级下册,whose,pron.,谁的
四年级下册,mine,pron.,我的
四年级下册,pack,v.,收拾（行李）
四年级下册,wait,v.,等待
四年级下册,glove,n.,手套
四年级下册,scarf,n.,围巾；披巾
四年级下册,umbrella,n.,伞；雨伞
四年级下册,sunglasses,n.,太阳镜
四年级下册,pretty,adj.,美观的；精致的
四年级下册,expensive,adj.,昂贵的
四年级下册,cheap,adj.,便宜的
四年级下册,nice,adj.,好的
四年级下册,try on,phr.,试穿
四年级下册,size,n.,尺码；号
四年级下册,of course,phr.,当然
四年级下册,too,adv.,太；过于
四年级下册,just,adv.,正好；恰好
四年级下册,how much,phr.,多少钱
四年级下册,eighty,num.,八十
四年级下册,dollar,n.,元（美国等国货币）
四年级下册,sale,n.,特价销售；大减价
四年级下册,more,adj.,更多的
四年级下册,us,pron.,我们
五年级上册,old,adj.,老的；年纪大的
五年级上册,young,adj.,年轻的；岁数不大的
五年级上册,funny,adj.,滑稽的；可笑的
五年级上册,kind,adj.,体贴的；慈祥的；宽容的
五年级上册,strict,adj.,严厉的
五年级上册,polite,adj.,有礼貌的
五年级上册,hard-working,adj.,工作努力的；辛勤的
五年级上册,helpful,adj.,有用的；愿意帮忙的
五年级上册,clever,adj.,聪明的；聪颖的
五年级上册,shy,adj.,羞怯的；腼腆的
