source_book,word,pos,meaning_zh
高考3500词,abandon,verb,放弃
高考3500词,ability,noun,能力； 才能
高考3500词,able,adjective,能够；有能力的
高考3500词,abnormal,adjective,不正常的
高考3500词,aboard,adverb,在船、飞机上
高考3500词,abolish,verb,废除
高考3500词,about,adverb,大约；到处；四处
高考3500词,above,preposition,在……上面
高考3500词,abroad,adverb,到（在）国外
高考3500词,absence,noun,不在，缺席
高考3500词,absent,adjective,缺席， 不在
高考3500词,absolute,adjective,完全的
高考3500词,absorb,verb,吸收
高考3500词,abstract,adjective,抽象的
高考3500词,absurd,adjective,荒谬的
高考3500词,abundant,adjective,丰富的，充裕的
高考3500词,abuse,verb,滥用。虐待
高考3500词,academic,adjective,学院的，学术的
高考3500词,academy,noun,专科院校，学会
高考3500词,accelerate,verb,加速，促进
高考3500词,accent,noun,口音，音调
高考3500词,accept,verb,接受
高考3500词,access,noun,通道，入门，接近
高考3500词,accident,noun,事故，意外的事
高考3500词,accommodation,noun,住处
高考3500词,accompany,verb,陪伴，伴奏
高考3500词,accomplish,verb,完成
高考3500词,according,,按照， 根据
高考3500词,accumulate,verb,积聚，堆积
高考3500词,accurate,adjective,正确的，精确的
高考3500词,accuse,verb,控告
高考3500词,accustomed,noun,习惯的
高考3500词,account,noun,账目；描述
高考3500词,ache,verb/noun,痛，疼痛
高考3500词,achieve,verb,达到，取得
高考3500词,acid,adjective,酸的
高考3500词,acknowledge,verb,承认
高考3500词,acquire,verb,获得，学到
高考3500词,across,preposition,横过，穿过
高考3500词,act,noun,法令，条例 v. （戏）表演
高考3500词,action,noun,行动
高考3500词,active,adjective,积极的，主动的
高考3500词,activity,noun,活动
高考3500词,actor,noun,男演员
高考3500词,actress,noun,女演员
高考3500词,actual,adjective,实际的； 现实的
高考3500词,AD,noun,公元
高考3500词,ad =advertisement,noun,广告
高考3500词,adapt,verb,适应，改编
高考3500词,add,verb,添加，增加
高考3500词,addicted,adjective,上瘾的，入迷的
高考3500词,addition,noun,增加；（算数用语）加
高考3500词,address,noun,地址
高考3500词,adequate,adjective,适当的，足够的
高考3500词,adjust,verb,调整，使。。适合
高考3500词,adjustment,noun,调节，调节器
高考3500词,administration,noun,管理，经营
高考3500词,admire,verb,钦佩； 羡慕
高考3500词,admirable,adjective,令人敬佩的
高考3500词,admission,noun,"准入, 接纳"
高考3500词,admit,verb,承认，准许
高考3500词,adolescence,noun,青春期
高考3500词,adopt,verb,采用，收养
高考3500词,adore,verb,崇拜，爱慕
高考3500词,adult,noun,成年人
高考3500词,advance,verb,推进，促进；前进
高考3500词,advantage,noun,优点； 好处
高考3500词,adventure,noun,冒险； 奇遇
高考3500词,advertise,verb,为……做广告
高考3500词,advertisement,noun,广告
高考3500词,advice,noun,忠告，劝告，建议
高考3500词,advise,verb,忠告，劝告，建议
高考3500词,advocate,verb,提倡，鼓吹
高考3500词,affair,noun,事，事情
高考3500词,affect,verb,影响
高考3500词,afford,verb,负担得起
高考3500词,afraid,adjective,害怕的；担心
高考3500词,Africa,noun,非洲
高考3500词,African,adjective,非洲的，非洲人的
高考3500词,after,adverb,在后；后来
高考3500词,afterwards,adverb,后来
高考3500词,again,adverb,再一次；再，又
高考3500词,against,preposition,对着，反对
高考3500词,age,noun,年龄；时代
高考3500词,agency,noun,代理处
高考3500词,agent,noun,代理商
高考3500词,aggression,noun,侵略
高考3500词,aggressive,adjective,侵略的；咄咄逼人的
高考3500词,ago,adverb,以前
高考3500词,agree,verb,同意；应允
高考3500词,agreement,noun,同意，一致；协定
高考3500词,agricultural,adjective,农业的
高考3500词,agriculture,noun,农业，农学
高考3500词,ahead,adverb,在前，向前
高考3500词,aid,noun,援助；救护；辅助器
高考3500词,aim,noun,目的；目标 v. 计划
高考3500词,air,noun,空气；大气
高考3500词,aircraft,noun,飞机 (单复数同)
高考3500词,airline,noun,航空公司；航空系统
高考3500词,airmail,noun,航空邮件
高考3500词,airplane,noun,（美）飞机
高考3500词,airport,noun,航空站，飞机场
高考3500词,alarm,noun,警报
高考3500词,album,noun,集邮本，照相簿
高考3500词,alcohol,noun,酒，酒精
高考3500词,alike,adjective,相同的，相似的
高考3500词,alive,adjective,活着的，存在的
高考3500词,all,adverb,全部地 a. 全（部）；
高考3500词,allow,verb,允许，准许
高考3500词,allowance,noun,津贴，补助
高考3500词,almost,adverb,几乎，差不多
高考3500词,alone,adjective,单独的，孤独的
高考3500词,along,adverb,向前；和……一起；一同
高考3500词,alongside,preposition,在。。旁边
高考3500词,aloud,adverb,大声地
高考3500词,already,adverb,已经
高考3500词,also,adverb,也
高考3500词,alternative,adjective,交替的，轮流的
高考3500词,although,conjunction,虽然，尽管
高考3500词,altitude,noun,态度
高考3500词,altogether,adverb,总共
高考3500词,always,adverb,总是；一直；永远
高考3500词,amateur,noun,业余爱好者
高考3500词,amaze,verb,惊奇，惊叹；震惊
高考3500词,ambassador,noun,大使
高考3500词,ambition,noun,雄心，野心
高考3500词,ambulance,noun,救护车
高考3500词,America,noun,美国；美洲
高考3500词,American,adjective,美国的；美国人的n. 美国人
高考3500词,among,preposition,在…中间；在（三个以上）
高考3500词,amount,noun,数量
高考3500词,amuse,verb,（使人）快乐，逗乐
高考3500词,amusement,noun,娱乐
高考3500词,analyse,verb,分析
高考3500词,analysis,noun,分析
高考3500词,ancient,adjective,古代的，古老的
高考3500词,ancestor,noun,祖宗； 祖先
高考3500词,ancient,adjective,古代的，古老的
高考3500词,anger,noun,怒，愤怒
高考3500词,angry,adjective,生气的，愤怒的
高考3500词,animal,noun,动物
高考3500词,ankle,noun,脚踝
高考3500词,anniversary,noun,周年纪念日
高考3500词,announce,verb,宣布，宣告
高考3500词,announcement,noun,通告，通知
高考3500词,annoy,verb,（使）烦恼
高考3500词,annual,adjective,一年一次的，年刊
高考3500词,another,adjective,再一；另一；别的；
高考3500词,answer,noun,回答，答复；
高考3500词,ant,noun,蚂蚁
高考3500词,anxious,adjective,忧虑的，焦急的
高考3500词,any,pronoun,（无论）哪一个；任何的
高考3500词,anybody,pronoun,任何人，无论谁
高考3500词,anyhow,adverb,不管怎样
高考3500词,anyone,pronoun,任何人，无论谁
高考3500词,anything,pronoun,什么事（物）；任何事（物）
高考3500词,anyway,adverb,不管怎样
高考3500词,apart,adverb,分离，分开的
高考3500词,anywhere,adverb,任何地方
高考3500词,apartment,noun,（美）楼中单元房，一套房间
高考3500词,apologize,verb,道歉，谢罪
